Id,I.0408,I.0409,I.0424,I.0525
wavelength_nm,irradiance_W/m^2/nm,irradiance_W/m^2/nm,irradiance_W/m^2/nm,irradiance_W/m^2/nm
725,5.885184,4.287544,20.975,0.305278
726,5.928455,4.211609,21.019,0.259617
727,6.015803,4.189807,21.072,0.263411
728,6.118602,4.168793,21.097,0.234046
729,6.253972,4.17885,21.142,0.208722
730,6.338764,4.127314,21.179,0.187393
731,6.509021,4.124371,21.233,0.162295
732,6.770227,4.196064,21.293,0.150519
733,6.967577,4.207149,21.334,0.13952
734,7.016156,4.118385,21.39,0.137693
735,6.824307,3.85937,21.428,0.130816
736,6.520117,3.52128,21.466,0.125542
737,6.348848,3.293354,21.482,0.125343
738,6.234588,3.087053,21.513,0.109783
739,6.214027,2.95035,21.543,0.097222
740,6.244493,2.803147,21.581,0.093047
741,6.237085,2.647431,21.626,0.073221
742,6.238474,2.513871,21.673,0.064135
743,6.166343,2.320327,21.729,0.06854
744,6.106069,2.156141,21.766,0.059214
745,5.996816,1.93272,21.797,0.052321
746,5.909533,1.735666,21.823,0.056214
747,5.87335,1.594062,21.855,0.053664
748,5.834538,1.4257,21.891,0.048733
749,5.872944,1.273578,21.933,0.043415
750,5.907228,1.174082,21.976,0.041802
751,5.879342,1.02253,22.013,0.03549
752,5.857043,0.912462,22.046,0.035257
753,5.814615,0.764485,22.047,0.051913
754,5.722279,0.628592,22.079,0.037193
755,5.604035,0.526919,22.102,0.023418
756,5.495438,0.418832,22.141,0.033274
757,5.461332,0.337103,22.147,0.045671
758,5.499036,0.298157,22.16,0.025308
759,5.548772,0.252322,22.202,0.019646
760,5.714407,0.232253,22.263,0.022959
761,5.902666,0.208965,22.27,0.027136
762,6.03982,0.181336,22.327,0.021749
763,6.720318,0.210501,22.358,0.024517
764,8.691375,0.355233,22.397,0.031564
765,10.450536,0.48826,22.43,0.029507
766,9.425578,0.338651,22.432,0.01912
767,7.78502,0.169485,22.473,0.009115
768,6.347279,0.083282,22.529,0.016652
769,5.677537,0.055962,22.562,0.016544
770,5.251204,0.04198,22.614,0.017495
771,5.019819,0.03583,22.635,0.018219
772,4.83423,0.029564,22.665,0.029783
773,4.710708,0.024541,22.715,0.033954
774,4.600552,0.02255,22.757,0.019821
775,4.425515,0.022244,22.793,0.014597
776,4.301443,0.01571,22.83,0.004264
777,4.258226,0.018111,22.867,-0.003306
778,4.178448,0.015063,22.902,0.006357
779,4.129327,0.015963,22.938,0.026757
780,4.130795,0.013418,22.964,0.025048
781,4.107095,0.010794,23.002,0.022555
782,4.127507,0.010958,23.083,0.009426
783,4.16123,0.012622,23.118,0.010888
784,4.138233,0.010927,23.159,-0.004859
785,4.129716,0.010753,23.187,-0.01156
786,4.17188,0.012114,23.232,0.003003
787,4.203223,0.011424,23.287,-0.00099
788,4.412696,0.011109,23.333,0.012538
789,4.869814,0.014137,23.351,0.002916
